Continente;Nombre;Tendencia;Puntos;Variacion(%);Variacion puntos;Puntos Anterior;Hora;Fecha;Fecha descarga
Europa;EURO STOXX 50®;Baja;3140.94;-1.54;-49.15;3190.09; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;ECO10;Baja;126.34;-1.43;-1.83;128.17; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 09:12:30.693000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 09:12:30.693000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 09:12:30.693000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 09:12:30.693000
EEUU;NASDAQ COMPOSITE;Baja;7437.54;-0.42;-31.09;7468.63; ;23-10-2018;24-10-2018 09:12:30.693000
Asia;NIKKEI 225;Sube;22141.40;+0.59;+130.62;22010.78;07:45;24-10-2018;24-10-2018 09:12:30.693000
LATINOAMERICA;IPC MEXICO;Baja;46449.03;-1.09;-513.71;47437.45; ;23-10-2018;24-10-2018 09:12:30.693000
LATINOAMERICA;Merval;Baja;28359.72;-0.73;-208.06;28673.28; ;23-10-2018;24-10-2018 09:12:30.693000
LATINOAMERICA;IPSA;Baja;3779.89;-0.16;-6.17;3784.88; ;23-10-2018;24-10-2018 09:12:30.693000
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 09:12:30.693000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 09:12:30.693000
Europa;IBEX 35;Sube;8752.60;+0.30;+26.50;8726.10;09:52;24-10-2018;24-10-2018 10:12:30.913000
Europa;BEL 20;Sube;3458.85;+0.62;+21.46;3437.39;09:53;24-10-2018;24-10-2018 10:12:30.913000
Europa;DAX;Sube;11311.81;+0.33;+37.53;11274.28;09:53;24-10-2018;24-10-2018 10:12:30.913000
Europa;CAC 40;Sube;5011.76;+0.89;+44.07;4967.69;09:52;24-10-2018;24-10-2018 10:12:30.913000
Europa;FTSE 100;Sube;6995.23;+0.58;+40.02;6955.21;09:53;24-10-2018;24-10-2018 10:12:30.913000
Europa;PSI 20;Sube;4955.00;+0.46;+22.45;4932.55;09:53;24-10-2018;24-10-2018 10:12:30.913000
Europa;EURO STOXX 50®;Sube;3163.69;+0.72;+22.75;3140.94;09:53;24-10-2018;24-10-2018 10:12:30.913000
Europa;ECO10;Sube;126.80;+0.36;+0.46;126.34;09:53;24-10-2018;24-10-2018 10:12:30.913000
